Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
WE SWORE TO MEET IN THE NEXT LIFE AND THAT 'S WHEN THINGS GOT WEIRD,1.0,0.0,,inf
18 AGAIN,,,1.0,
ABOUT TIME,,,5.0,
ABYSS,,,18.0,
ALL IN,,,55.0,
ALL OF US ARE DEAD,,,3.0,
ARTHDAL CHRONICLES,,,5.0,
AWAKEN,,,9.0,
BABYSITTER,,,1.0,
BAD AND CRAZY,,,1.0,
BAD GUYS,,,9.0,
BIG ISSUE,,,1.0,
BLOODY HEART,,,4.0,
BUSINESS PROPOSAL,,,34.0,
CHIP IN,,,1.0,
CROSS,,,79.0,
DAMO,,,1.0,
DISTORTED,,,1.0,
DOOM AT YOUR SERVICE,,,1.0,
DR. ROMANTIC,,,10.0,
FORECASTING LOVE AND WEATHER,,,7.0,
FOREST,,,4.0,
GHOST DOCTOR,,,2.0,
GIANT,,,14.0,
GOOD GIRL,,,1.0,
HER PRIVATE LIFE,,,6.0,
HOMETOWN CHA-CHA-CHA,,,9.0,
HOSPITAL PLAYLIST,,,1.0,
IMITATION,,,1.0,
ITAEWON CLASS,,,1.0,
ITEM,,,35.0,
KILL IT,,,1.0,
KOREAN PENINSULA,,,2.0,
LAST,,,396.0,
LIVE ON,,,3.0,
LOCAL HERO,,,3.0,
LOVERS OF THE RED SKY,,,6.0,
MEMORIES OF THE ALHAMBRA,,,1.0,
MILITARY PROSECUTOR DOBERMAN,,,1.0,
MISSING: THE OTHER SIDE,,,5.0,
MISTRESS,,,2.0,
MISTY,,,3.0,
MONSTROUS,,,5.0,
MORE THAN FRIENDS,,,1.0,
MR. QUEEN,,,7.0,
MY HOLO LOVE,,,2.0,
MY LIBERATION NOTES,,,7.0,
MY MISTER,,,1.0,
MY NAME,,,2.0,
MY STRANGE HERO,,,6.0,
NATURALLY,,,11.0,
NEVERTHELESS,,,1.0,
NO MATTER WHAT,,,4.0,
NOKDU FLOWER,,,1.0,
OH MY LADYLORD,,,1.0,
OUR BELOVED SUMMER,,,4.0,
OUR BLUES,,,8.0,
PERSONA,,,145.0,
PIED PIPER,,,2.0,
PLAYER,,,31.0,
POSSESSED,,,3.0,
PRIEST,,,9.0,
QUEENDOM,,,6.0,
REMEMBER,,,160.0,
REPLY 1988,,,2.0,
RETURN,,,38.0,
RUN ON,,,1.0,
SEARCH: WWW,,,8.0,
SF8,,,1.0,
SHORT,,,88.0,
SISYPHUS: THE MYTH,,,1.0,
SOMEBODY,,,5.0,
SPONSOR,,,5.0,
STRANGER,,,15.0,
SUSPICIOUS PARTNER,,,6.0,
SWEET HOME,,,5.0,
TELL ME,,,22.0,
TEMPTED,,,5.0,
THE CURSED,,,3.0,
THE DEVIL,,,3.0,
THE END OF THE WORLD,,,2.0,
THE FIERY PRIEST,,,4.0,
THE GUEST,,,5.0,
THE KILLER'S SHOPPING LIST,,,2.0,
THE KING'S AFFECTION,,,1.0,
THE KING: ETERNAL MONARCH,,,11.0,
THE RED SLEEVE,,,13.0,
THE TALE OF NOKDU,,,1.0,
THE TIME,,,76.0,
THE UNCANNY COUNTER,,,7.0,
THE VIRUS,,,2.0,
THE WIND BLOWS,,,2.0,
THIRTY-NINE,,,1.0,
THREE DAYS,,,3.0,
TIMES,,,157.0,
TOP MANAGEMENT,,,1.0,
TOUCH YOUR HEART,,,2.0,
TRAIN,,,65.0,
TRAP,,,33.0,
TRIO,,,10.0,
TUNNEL,,,4.0,
TWENTY-FIVE TWENTY-ONE,,,23.0,
TWO WEEKS,,,12.0,
VOICE,,,76.0,
WELCOME,,,26.0,
WHAT'S WRONG WITH SECRETARY KIM,,,1.0,
WHEN THE CAMELLIA BLOOMS,,,1.0,
WHEN THE WEATHER IS FINE,,,4.0,
WHISPER,,,9.0,
WHY HER,,,2.0,
YOUTH,,,17.0,
YOUTH OF MAY,,,1.0,
ZOMBIE DETECTIVE,,,1.0,
